role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Student,22,Male,Rural ,Nagar,rarely,"We can provide the best learning environment through technology to help students objectives to be filled 
","Get access to information 
","Training about technology usage 
",Yes,Yes," I totally understand better from technology 
",Yes,"I become aware of social adjustment

",No,Yes,"Yes Students develops their essential skills by the help of educational softwares 
",Yes,Yes,Yes,No,Multimedia and internet access ,Advanced learning can improve students learning ,extremely,Yes,No,No,Yes,Positive,Positive,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,weekly,,,,Yes,No,Technology play a vital role in our life we learn so many thing from all over the world.,Yes,"Online business, online games and connect with our family and friends by using mobile phones.",Yes,Yes,,Yes,Yes,Yes,Yes,,,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,,Teachnology  provides Graphic learning ,School cannot manage technology due to lack finincial resources ,Yes,No,students learn deep knowledge from youtuble which increase his understanding,Yes,we use technology to learn from relatives ,No,Yes,through proper facilitation of IT,No,Yes,Yes,No,Mutimedia and screen system and with it system,,slightly,No,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,46,Female,Karimabad,Hunza,several times a week,It is best tro access to online educational websites.,Technology can make learning fun and increasing students motivation and participation.,Excessuve screen time can negatively impact physical and mental health.,Yes,Yes,"Technology has changed the curriculum comtent as first there were every thing in written form but technology has bought every thing in mobile,computer etc.",Yes,It has made communication easy due to wich we can do our work in seconds or minutes.It has bought people of the society together so that they can work with each other or help each other so that the work will be done on time.,Yes,Yes,,Yes,Yes,Yes,No,"Practical labs ,real words and practical work.",May be students access class from anywhere.,moderately,Yes,No,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,35,Female,Karimabad,Hunza,weekly,They can enhane there four skills,"Tying improve, listening issues and they build speaking power.",Inn our area there is internet issues and weak signal.,Yes,No,We engage students through technology with different activities,Yes,Our relstionship is some time weak and and sometime we build strong relation because of internet,Yes,Yes,when they learn  education chips and vodies.,Yes,Yes,Yes,No,We need internet access in our class computer and LED.,"AC, electricity , LED and proper heating system.",extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Negative
Teacher,28,Female,Aliabad,Hunza,weekly,,Student learn easily while using technology.,Mostly light create challenge for using technology.,Yes,No,By using technology its is easy to deliver lecture .,Yes,The potiental impact of technology on social skill is that they destory or decrease of habits its create a gap between our relatives,Yes,Yes,,Yes,Yes,Yes,No,"Laptop,tablets and TVs",,very,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Positive,Positive
Teacher,41,Female,Karimabad,Hunza,weekly,,Learn quickly lesson and student give much more importance to technology.,Enhance thinking skills and think on result enciendly.,Yes,Yes,No do not enhance the curriculum content and lose eye sight.,No,Technology disconnect the social skill and relationship.,No,No,Do not support the above mentioned skills.,No,No,No,No,Laptop and LCD,Student will totally divert toward the technology.,moderately,No,No,No,No,Positive,Positive,Negative,Negative,Negative
Teacher,40,Female,Nagar Khas,Nagar,several times a week,it enhance the listening skill and thinking,it enhance memorization,internet access information,Yes,No,variety of ideas and activities generates,Yes,technology is best source of getting things,Yes,Yes,"through stories, sktches, and pictures",Yes,Yes,Yes,Yes,offline vedios,technology shall replace teachers in future,extremely,Yes,Yes,No,Yes,Positive,Positive,Positive,Positive,Negative
Teacher,31,Male,Nagar Khas,Nagar,several times a week,"we can use the techonology equipments in primary level, some time to improve the education",mulimedia can use primary school education for the effective learning,with the help of technology we can enhance the primary level of education,No,No,technology is a tool which change learning skill as well,Yes,technology is a most potential which impact on our skill,No,Yes,off cousre technology can help me all aspect of the primry level,Yes,No,Yes,No,multimedia and use of internet facility,technology help the overthinking level ,very,Yes,No,Yes,No,Negative,Positive,Positive,Positive,Positive
Teacher,29,Male,Rural ,Nagar,several times a week,"By using technology we can easily convey our messages to students 

","We can connect the students with world 
",Financial crises ,No,No,"Engaging the students in Lab to perform activities related to their content 
",Yes,"we can improve our social skills and relationships through the technology 
",No,Yes,NO,Yes,Yes,Yes,No,Projector ,No idea,slightly,No,No,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,40,Female,Nilt nagar,Nagar,several times a week,obviously technology is a best way of learning ,,,Yes,No,,Yes,,No,No,multimedia learning enviornment enable student to apply knowledge in real world contents,Yes,Yes,Yes,Yes,"internet, LEDs",it will be good in future and technology will be enhanced,moderately,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Karimabad,Hunza,several times a week,,"It reduces both time and cost of teachers and more fun,interesting in primary education.","It can lead to distraction such as social media,online gaming,technical issues and budgets issues.",No,No,"It enables new way of learning ,communicating and working collaboratively.",No,"Non-verbal cues,such as body language facial expression and tone of voice are lost due to technology.",Yes,Yes,It helps in improve efficiency and reduce costs of production.,Yes,Yes,Yes,No,"E-books,smart board game learning and digital pads.",Development in new media and computing technologies in education.,moderately,Yes,No,Yes,No,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,,in this era its most important element ,,Yes,Yes,,Yes,,Yes,Yes,we can use technology to enhance learning,Yes,Yes,Yes,Yes,"projector, excel,are used",technology should used in primary education,slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Male,Nagar Khas,Nagar,weekly,technology is best resources of learning it quick acess and provide in depth  knwoldge about lesson,students learns how to use tecnology and and its importance with the help of such facilities ,lack of awarness and training,Yes,No,it provide  us everything promptly,Yes,It has  many great lessons,No,Yes,It help to learn the things quickly. Students know how to use technology,No,No,Yes,No,"Computer Lab, Multimedia, and other Basic equipment.",in future students will totally depend on technology,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,rarely,with the help of different types of technological system improve the learning objectives of primary students,in primary education most of students benficial the use of technology we need to struggle to maximized,many types of limitations are facing the technology has waste the time and demage the students brain,Yes,Yes,,Yes,Due  to use  of  technology can  connnect fareway from relatives ,No,Yes,we  can use  technology for complete many types of things which are mentioned above with the help of technology. ,No,Yes,Yes,No,Mutimedia and screen system and WIFI system,the technology provide effective technology and learning,slightly,No,Yes,No,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,31,Female,Nagar Khas,Nagar,weekly,E learning provide high support to obtain educational goals,easy to learn,,Yes,Yes,techonology make faster than contnt learning,Yes,impect of technology in social skill and relationship create distance and some where its possisive,No,Yes,we can use technology to enhance learning,Yes,Yes,Yes,Yes,"projector, multimadia",technology will play fundemental role in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,49,Male,Nagar Khas,Nagar,several times a week,technology can best support the learning objectives of primary students because it save time and resources,saving of time and resources ,there are erergetic resources ,Yes,No,,Yes,,Yes,Yes,creativity skills are must applied,Yes,No,Yes,No,experienced man power should be avaiable ,we thought all activities will bw promoted,moderately,No,No,No,Yes,Negative,Positive,Positive,Positive,Positive
Teacher,40,Male,Rural ,Nagar,several times a week,"Technology can be used to build fundamental skills to prepare them for future independent learning
","Technology helps in hard work easier to do
","Equity issues and budget problem 
",Yes,Yes,"Technology changed the way of traditional learning and teachings 
",Yes,"Excessive use of technology can also foster a sense of isolation.
",Yes,Yes,"Technology provides the opportunity of providing 
personalized skills improvement ",Yes,No,Yes,No,"WiFi, internet access and building 
","Online grading system and students engagement 
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,41,Male,Aliabad,Hunza,several times a week,Educational technology is the need of time to make teaching learning process effectively.,Kids take attention and gets motivated to take part in the classroom activities an dlearn quickly as compare to traditional learning.,"Require accomplicement ,training,educational software, data bank,proper internet services ",Yes,No,It motivate us to know new ideas we can understand easly by using technology.,Yes,The technology enhance our skill using technology we can easly to study and understand things.,Yes,Yes,"All the above mentioned are focused in textbook,so we need only engage student in problem solving, thinking and so on.",Yes,Yes,Yes,Yes,"Smart board, multimedia,chrom books and LCDs.",,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
